source,building_id,longitude,latitude,height_m,층수,용도,종류
map1,352,227420.87584806088,378174.8930240825,3.0,1,근린생활시설,주택외건물
map1,353,227441.23208501405,378240.9011019452,3.0,1,기타시설,무벽건물
map1,354,227400.73733244487,378104.8373796052,3.0,1,기타시설,무벽건물
map1,355,227405.84314205378,378133.5754028061,3.0,1,근린생활시설,주택외건물
map1,356,227392.9753576482,378135.3618060917,3.0,1,근린생활시설,주택외건물
map1,357,227393.0055228979,378109.3472308588,3.0,1,기타시설,무벽건물
map1,358,227445.2214435977,378219.0784042139,3.0,1,주택,일반주택
map1,359,227450.78404540513,378228.64957149647,3.0,1,주택,일반주택
map1,360,227443.25890071658,378229.5962791943,3.0,1,주택,일반주택
map1,361,227671.48925466716,378238.46875777916,3.0,1,공장,주택외건물
map1,362,227447.88241478978,378241.10420822643,3.0,1,주택,일반주택
map1,363,227415.10692639463,378188.0121258482,3.0,1,기타시설,무벽건물
map1,364,227413.35775011664,378195.8243585321,3.0,1,주택,일반주택
map1,365,227456.2192634831,378230.16071631917,3.0,1,주택,일반주택
map1,366,227439.19296308295,378211.1564755322,3.0,1,주택,일반주택
map1,367,227460.84968379844,378144.72001706215,3.0,1,주택,일반주택
map1,368,227437.48372129435,378271.7762441802,3.0,1,기타시설,무벽건물
map1,369,227432.01928340792,378276.5105073513,3.0,1,주택,일반주택
map1,370,227434.34096458586,378282.99617865984,3.0,1,주택,일반주택
map1,371,227423.54317478935,378170.2063559363,3.0,1,기타시설,가건물
